Time of Tweet,Tweet,URL to Tweet
2011-09-15 21:11:12,“@MacRumors: iOS Blog: Page 2: Apple Experiencing Constrained Stocks of iPhone 4 Bumper http://t.co/Jfl3uHvA” @Evan_Tarv dammit!,https://twitter.com/nick_bap/status/114446189956579328
2011-09-15 21:08:28,“@cnet: Case-Mate briefly posts 'iPhone 5' case gallery: http://t.co/Hdw7JJMX” @matparker24,https://twitter.com/nick_bap/status/114445502141050880
2011-09-15 20:05:18,"“@markhoppus: The first full-album review of Neighborhoods. Thank you, MTV. http://t.co/a0JprRCB” @Evan_Tarv @matparker24",https://twitter.com/nick_bap/status/114429603317161985
2011-09-15 01:33:58,Friendly choppers inbound! http://t.co/O34LULq3,https://twitter.com/nick_bap/status/114149930725163008
2011-09-15 01:09:42,@matparker24 well lemme get at that user name,https://twitter.com/nick_bap/status/114143821926891520
2011-09-15 00:30:41,"@matparker24 I'll hit you up when I get home.  In the meantime, download skype DAN",https://twitter.com/nick_bap/status/114134005108047872
2011-09-14 18:23:50,@Evan_Tarv I just got the blink album,https://twitter.com/nick_bap/status/114041680281350144
2011-09-13 05:29:43,@Evan_Tarv  jooged you the spot #bestroomyever,https://twitter.com/nick_bap/status/113484480437690368
2011-09-12 06:40:53,@Evan_Tarv I couldn't have said it better myself!,https://twitter.com/nick_bap/status/113140003588153344
2011-09-12 01:53:04,"RT @Lord_Voldemort7: If you spew out phrases like ""It's not the amount of breaths you take, it's the moments that take your breath away"" ...",https://twitter.com/nick_bap/status/113067572269821953
2011-09-11 23:22:17,"Get your face double tapped, Osama!! #usscarlvinson http://t.co/VjhqSsM",https://twitter.com/nick_bap/status/113029625654939648
2011-09-11 06:45:01,@matparker24 I wish your phone could receive pictures,https://twitter.com/nick_bap/status/112778655494701056
2011-09-11 06:29:26,@matparker24 so ghosted,https://twitter.com/nick_bap/status/112774733010968576
2011-09-11 06:25:06,@matparker24 I'm with your BFF,https://twitter.com/nick_bap/status/112773643712479232
2011-09-11 02:41:03,A Tribe Called Quest an a Vert sesh yeeeeee!,https://twitter.com/nick_bap/status/112717257582448640
2011-09-10 18:58:17,Looks like Torrey Pines is a shitty place to live after all! http://t.co/BfIeUge /via,https://twitter.com/nick_bap/status/112600800357920768
2011-09-10 18:52:43,@deaddiego damn homie it's been a while! Get some homies to roll with! I'm living near the beach now.,https://twitter.com/nick_bap/status/112599397900095488
2011-09-10 18:51:48,@estupityoe damn it looks craccckkkin I wanna skate that next time I come home!,https://twitter.com/nick_bap/status/112599170518499328
2011-09-10 18:49:47,@matparker24 follow @_Snape_ for pure humor,https://twitter.com/nick_bap/status/112598660830867456
2011-09-10 18:43:47,@matparker24 Why thank you. Will yourself a nawesome Pat Marker user photo.,https://twitter.com/nick_bap/status/112597150617174016
2011-09-10 18:13:19,"@Evan_Tarv “@_Snape_: #TheresNoExcuseFor ever hitting a woman. Unless that woman is Dolores Umbridge, then it's ok.”",https://twitter.com/nick_bap/status/112589486029930496
2011-09-10 00:28:28,“@estupityoe: Halfpipe to myself =]]]] http://t.co/d3TtxMR”  @estupityoe where's this at big Joe?,https://twitter.com/nick_bap/status/112321504879984640
2011-09-09 23:48:38,@crazychica120 @evan_tarv you have to tag him as @stuppystavar!,https://twitter.com/nick_bap/status/112311480266915840
2011-09-09 22:09:20,@deaddiego what up!,https://twitter.com/nick_bap/status/112286490842759168
2011-09-09 21:26:47,@Evan_Tarv @matparker24 @crazychica120 Where is @stuppystavar?,https://twitter.com/nick_bap/status/112275783808061440
2011-09-09 21:15:45,@matparker24 DONT FOLLOW ME ON TWITTER,https://twitter.com/nick_bap/status/112273006876835843
